Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1698.6920516129032
FDW14,OUT017,1473.128417241379
NCN55,OUT010,600.5900115384618
FDQ58,OUT017,2215.1779236842103
FDY38,OUT027,8156.3829000000005
FDH56,OUT046,1905.6415413919392
FDL48,OUT018,702.4189999999999
FDC48,OUT027,2157.1920000000005
FDN33,OUT045,1508.7747783783786
FDA36,OUT017,3457.9625652173913
FDT44,OUT017,1905.6415413919392
FDQ56,OUT045,1508.7747783783786
NCC54,OUT019,600.5900115384618
FDU11,OUT049,1905.6415413919392
DRL59,OUT013,702.4189999999999
FDM24,OUT049,2215.1779236842103
FDI57,OUT045,3457.9625652173913
DRC12,OUT018,3452.2395800000004
NCM42,OUT027,2110.364066666667
FDA46,OUT010,432.0263792207792
FDA31,OUT013,1715.132504761905
NCJ31,OUT035,3751.3229927272732
FDG52,OUT046,772.4026691588788
NCL19,OUT019,567.2616
FDS10,OUT035,3611.1382373626348
FDX22,OUT010,341.7903882352941
NCF19,OUT035,772.4026691588788
NCE06,OUT046,2504.685769361704
DRC27,OUT046,8956.0087
FDE21,OUT035,2038.0137999999997
NCR42,OUT019,36.2861
FDX51,OUT018,3206.872514062502
NCR06,OUT018,378.37414
FDU31,OUT027,5245.880879487179
FDU59,OUT017,2504.685769361704
FDR03,OUT027,5245.880879487179
FDS49,OUT027,2255.7304
FDD48,OUT010,215.82323125000002
NCF18,OUT017,2558.405854166667
NCD43,OUT027,2448.01344
NCD54,OUT018,1749.5961275862066
FDY19,OUT010,114.18469999999999
NCY54,OUT017,1715.132504761905
NCL19,OUT018,2535.4464415300545
FDP23,OUT010,341.7903882352941
FDC26,OUT013,1212.225976470588
FDR14,OUT010,296.281
NCS41,OUT035,3611.1382373626348
FDF41,OUT035,3751.3229927272732
FDU34,OUT046,1905.6415413919392
DRH11,OUT046,786.132253333333
FDM03,OUT013,1755.9781458333337
FDS31,OUT017,2455.375285714286
FDJ20,OUT017,1905.6415413919392
FDV44,OUT027,3390.9193999999998
FDG02,OUT049,3206.872514062502
FDA09,OUT013,3012.597044444446
FDT04,OUT013,601.9340597222222
FDL58,OUT019,341.7903882352941
FDE52,OUT045,1023.7784666666665
FDW12,OUT035,2793.7775030303033
FDL51,OUT017,4218.867307692307
NCY42,OUT027,1687.803
FDR07,OUT017,1461.742283116883
FDN40,OUT045,2215.1779236842103
FDB35,OUT027,2406.2012
FDA22,OUT017,2504.685769361704
NCL06,OUT046,3809.3613840000007
FDI35,OUT013,3611.1382373626348
NCW42,OUT045,3709.7364970370363
NCX06,OUT049,2513.1110558823534
FDC37,OUT027,1950.4610999999998
FDZ14,OUT018,1615.0545588235293
DRG49,OUT049,4230.758195024874
NCG06,OUT045,4230.758195024874
DRC36,OUT045,3012.597044444446
FDV21,OUT019,479.376
FDB53,OUT046,2535.4464415300545
DRP47,OUT019,600.5900115384618
FDA14,OUT013,2535.4464415300545
DRC24,OUT035,2206.4182451612905
FDW21,OUT018,1986.0814
NCH29,OUT046,733.3787
FDU58,OUT013,3980.65175
FDY27,OUT017,1913.6423599999996
FDV56,OUT035,1580.7302545454543
FDT59,OUT046,3709.7364970370363
FDB23,OUT046,4514.124
FDR49,OUT045,772.4026691588788
FDB03,OUT010,600.5900115384618
FDN39,OUT045,2504.685769361704
FDX02,OUT027,5245.880879487179
FDQ16,OUT027,2466.789
FDU35,OUT018,1508.7747783783786
