Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1761.5292533333334
FDW14,OUT017,1715.8997600000002
NCN55,OUT010,460.0678000000001
FDQ58,OUT017,2320.756866666666
FDY38,OUT027,5478.4243333333325
FDH56,OUT046,1694.3278400000002
FDL48,OUT018,798.5161333333333
FDC48,OUT027,2488.671626666667
FDN33,OUT045,1262.4455733333334
FDA36,OUT017,2594.4894399999994
FDT44,OUT017,1788.0280933333333
FDQ56,OUT045,1245.3567066666667
NCC54,OUT019,449.5925466666667
FDU11,OUT049,2034.0190000000002
DRL59,OUT013,1082.45764
FDM24,OUT049,2666.2626800000003
FDI57,OUT045,2818.1094666666672
DRC12,OUT018,2810.297413333333
NCM42,OUT027,2785.7515866666668
FDA46,OUT010,470.4542799999999
FDA31,OUT013,3117.7638533333334
NCJ31,OUT035,3032.6746133333336
FDG52,OUT046,922.7100266666667
NCL19,OUT019,433.3914133333334
FDS10,OUT035,3185.9861600000004
FDX22,OUT010,441.46978666666666
NCF19,OUT035,1419.4856000000002
NCE06,OUT046,2586.9437066666665
DRC27,OUT046,2970.888373333333
FDE21,OUT035,1641.1082266666667
NCR42,OUT019,233.74018666666663
FDX51,OUT018,2754.8584666666666
NCR06,OUT018,1131.5492933333335
FDU31,OUT027,5434.9697866666675
FDU59,OUT017,2225.902560000001
FDR03,OUT027,5397.463053333332
FDS49,OUT027,2186.62036
FDD48,OUT010,202.35881333333333
NCF18,OUT017,3064.366693333334
NCD43,OUT027,2662.0459466666666
NCD54,OUT018,1846.7516533333333
FDY19,OUT010,233.11877333333328
NCY54,OUT017,2668.482013333333
NCL19,OUT018,1776.1768533333336
FDP23,OUT010,498.86174666666665
FDC26,OUT013,1852.6994666666665
FDR14,OUT010,214.8758533333333
NCS41,OUT035,2904.7966266666667
FDF41,OUT035,3950.3245600000005
FDU34,OUT046,1798.1482533333335
DRH11,OUT046,1257.4742666666666
FDM03,OUT013,1968.6818266666664
FDS31,OUT017,3389.8985066666664
FDJ20,OUT017,2072.10276
FDV44,OUT027,5171.224213333334
FDG02,OUT049,3103.69328
FDA09,OUT013,2986.823186666667
FDT04,OUT013,878.1902000000001
FDL58,OUT019,534.4154666666666
FDE52,OUT045,1543.6351066666668
FDW12,OUT035,2557.2046400000004
FDL51,OUT017,2781.5348533333326
NCY42,OUT027,3580.894333333333
FDR07,OUT017,1318.81664
FDN40,OUT045,1912.31076
FDB35,OUT027,2520.7188000000006
FDA22,OUT017,2078.5832133333333
NCL06,OUT046,3066.319706666667
FDI35,OUT013,4014.7296133333334
NCW42,OUT045,2997.56476
NCX06,OUT049,3222.4719999999998
FDC37,OUT027,2664.709146666667
FDZ14,OUT018,1736.9834266666667
DRG49,OUT049,3613.8736266666656
NCG06,OUT045,3181.4587199999996
DRC36,OUT045,2290.4851599999997
FDV21,OUT019,378.2187866666667
FDB53,OUT046,2255.952333333333
DRP47,OUT019,373.11431999999996
FDA14,OUT013,2322.3991733333332
DRC24,OUT035,2354.40196
FDW21,OUT018,1464.22736
NCH29,OUT046,2239.4848800000004
FDU58,OUT013,2545.6641066666666
FDY27,OUT017,2313.0335866666665
FDV56,OUT035,2110.8523200000004
FDT59,OUT046,3556.83676
FDB23,OUT046,3707.351946666667
FDR49,OUT045,936.7806000000002
FDB03,OUT010,540.36328
FDN39,OUT045,2849.75716
FDX02,OUT027,6684.632
FDQ16,OUT027,3065.565133333334
FDU35,OUT018,1385.1303200000002
NCT29,OUT013,1874.537706666667
FDZ27,OUT046,987.5145599999998
FDN57,OUT017,2292.1718533333333
FDA03,OUT018,1839.4278533333331
FDZ36,OUT045,3624.9259066666677
NCU05,OUT013,1626.5937866666666
FDT39,OUT018,2451.786306666667
FDK60,OUT017,1615.452733333333
FDZ25,OUT017,3624.2601066666666
FDG12,OUT046,2352.8928133333334
DRB01,OUT019,404.22937333333334
NCC43,OUT027,5514.910173333333
FDX13,OUT019,610.4942133333333
FDM22,OUT049,1030.8359466666666
FDJ03,OUT027,1479.185666666667
FDU14,OUT018,3317.4594666666667
FDB33,OUT010,331.16891999999996
FDP27,OUT046,3427.67156
FDO38,OUT010,180.69812
FDE28,OUT027,6960.051266666666
FDO27,OUT035,1757.2681333333337
DRL23,OUT027,2897.96108
FDS28,OUT046,1219.6568266666668
FDX24,OUT013,1066.6116
FDZ02,OUT035,1854.4749333333334
FDL46,OUT045,1777.7303866666668
FDS60,OUT027,4815.820173333334
NCO06,OUT017,1164.5285866666666
FDO16,OUT035,1925.9818533333332
FDC60,OUT049,1269.7249866666668
FDA48,OUT018,3080.8785333333335
FDZ36,OUT027,4656.738359999999
FDK27,OUT045,1633.2074
FDW23,OUT018,793.5448266666666
FDM14,OUT018,1459.1228933333334
FDM14,OUT013,1741.9103466666668
FDW60,OUT018,2540.2489333333338
FDE21,OUT013,1823.9369066666666
NCM42,OUT035,2228.5213733333335
FDY59,OUT010,224.95162666666664
DRI49,OUT049,1261.2027466666666
FDT28,OUT019,423.49318666666665
FDQ22,OUT018,570.7237600000001
FDR60,OUT049,1287.6572
FDC50,OUT019,260.99359999999996
FDV24,OUT013,2735.994133333334
DRF48,OUT010,372.0046533333333
FDQ47,OUT046,1086.45244
DRN36,OUT049,1352.77244
NCY06,OUT035,2368.2506
FDE52,OUT035,1651.9829599999998
NCB54,OUT045,2059.2306266666665
NCF31,OUT035,2575.802653333333
FDJ08,OUT027,6093.80108
NCC07,OUT017,1991.0970933333333
NCD19,OUT027,1932.3735333333336
FDL46,OUT049,1778.8400533333336
FDM20,OUT045,4136.571013333333
NCI06,OUT010,330.72505333333334
DRM11,OUT035,3369.6138
NCH07,OUT018,2134.909893333333
FDS23,OUT013,2579.2204266666668
FDO49,OUT018,602.81532
FDS35,OUT049,1221.3435199999997
DRK39,OUT045,1219.7455999999997
DRI39,OUT049,918.4932933333333
FDV04,OUT017,2765.0674000000004
NCN14,OUT035,2648.241693333334
FDH08,OUT013,4197.203199999999
FDS20,OUT046,3174.3124666666668
FDV40,OUT049,1061.8178400000002
FDZ48,OUT010,196.411
FDS24,OUT027,2424.3553466666667
FDK44,OUT049,2789.613226666667
FDS48,OUT045,2176.1007200000004
FDK26,OUT010,456.1173866666667
FDD23,OUT045,3488.9251600000002
NCH54,OUT017,3012.87816
NCP14,OUT010,254.02489333333332
FDM60,OUT010,145.10001333333332
FDV24,OUT017,2089.5467200000003
FDH08,OUT018,3358.82784
FDS12,OUT027,3084.207533333333
FDR39,OUT027,5033.004133333334
FDP12,OUT027,1647.32236
DRF60,OUT027,3755.7334133333325
FDC09,OUT035,1995.047506666667
FDF50,OUT018,3442.8961866666664
FDG28,OUT035,3978.0218400000003
NCE19,OUT017,1047.5253333333335
NCM53,OUT010,324.77723999999995
NCN18,OUT049,1555.0424799999998
FDF32,OUT035,3292.5141599999997
FDF11,OUT013,3208.8452933333333
DRI59,OUT049,3440.676853333333
NCG54,OUT035,3559.278026666667
FDM44,OUT046,1598.05316
FDT57,OUT018,2864.0940533333337
FDV24,OUT046,2245.8321733333337
FDI50,OUT019,564.46524
FDS09,OUT035,984.5850399999998
NCC31,OUT027,3249.547866666667
FDQ07,OUT019,570.5018266666666
FDC22,OUT017,2998.8519733333337
FDZ56,OUT046,2558.8469466666666
FDZ40,OUT019,190.10809333333336
FDS46,OUT027,2829.028586666667
DRD24,OUT045,2707.497893333333
FDV45,OUT017,3321.143560000001
FDL26,OUT045,2656.8970933333335
FDA56,OUT018,1438.0392266666665
FDN27,OUT046,1910.71284
FDM20,OUT049,4443.504813333333
FDO16,OUT017,1795.4406666666669
FDL03,OUT035,3653.688466666667
FDE58,OUT046,1995.1362799999997
FDI02,OUT027,2858.9008133333336
NCC55,OUT019,225.21794666666665
FDR03,OUT018,2203.309746666667
FDB14,OUT017,1669.1162133333335
FDR45,OUT013,4521.0039333333325
NCN07,OUT017,1911.6005733333332
FDM51,OUT019,249.18674666666666
FDT52,OUT027,6729.2406
FDL26,OUT046,2205.7066266666666
NCZ42,OUT046,2975.4602000000004
DRI47,OUT019,291.88672
FDW40,OUT013,2659.5159066666665
FDN34,OUT046,3034.627626666667
FDS01,OUT035,3950.1470133333337
NCG55,OUT045,2047.3793866666665
FDC11,OUT035,1294.1376533333334
FDX35,OUT018,3078.614813333333
NCB06,OUT046,2463.504386666667
FDR09,OUT019,429.52977333333325
FDC53,OUT017,1648.4320266666666
FDY45,OUT013,3938.3845466666667
FDA22,OUT010,356.95757333333336
FDE02,OUT035,1711.461093333334
FDW21,OUT045,1806.7148799999998
FDV34,OUT046,1297.77736
FDS59,OUT049,1789.0933733333331
NCW17,OUT017,1893.6239733333327
NCK54,OUT046,1723.22356
FDG17,OUT019,610.9824666666666
FDG35,OUT017,2163.8943866666664
FDD08,OUT010,181.85217333333333
NCO07,OUT017,2949.804706666667
FDJ10,OUT010,425.9344533333333
FDW36,OUT017,1590.0191733333336
FDW21,OUT010,269.6933866666667
FDY19,OUT017,2042.2749199999998
DRE03,OUT013,1015.87764
NCC55,OUT049,1009.9298266666667
FDH52,OUT010,129.91977333333335
FDO09,OUT017,4074.0745866666666
FDU43,OUT045,3664.1637199999996
FDX09,OUT010,396.63925333333333
FDH40,OUT019,238.57833333333335
FDW58,OUT017,1940.4962933333334
FDC47,OUT017,3433.5749866666665
NCR41,OUT035,2023.4105866666664
DRG49,OUT035,3455.723933333334
FDC52,OUT027,5130.699186666667
FDY13,OUT046,1106.0713466666668
FDY35,OUT013,1017.1204666666669
FDI35,OUT017,3240.1822800000004
NCU18,OUT049,3096.5026399999997
FDY33,OUT018,2021.76828
FDC15,OUT027,4045.0013200000008
FDU01,OUT049,2857.1697333333336
NCU42,OUT046,2447.3476400000004
NCV29,OUT018,2234.1584799999996
NCY30,OUT017,2894.63208
FDQ46,OUT049,2035.2174400000001
FDG58,OUT027,4428.63528
FDK33,OUT017,3956.405533333334
NCD07,OUT045,1839.7829466666665
NCX29,OUT027,3579.2520266666675
NCT42,OUT013,2700.5735733333336
DRN59,OUT035,885.8247066666667
FDI44,OUT035,1239.5420533333336
FDA45,OUT049,2748.466786666666
FDP31,OUT045,1113.2176000000002
FDY01,OUT046,1847.0179733333332
FDT09,OUT018,1533.47056
DRH03,OUT027,2208.946853333334
FDA36,OUT018,3342.8486399999997
NCF31,OUT017,2656.14252
FDG14,OUT049,2587.875826666667
FDG28,OUT027,6959.1635333333315
FDU14,OUT049,3704.5555866666673
FDY47,OUT019,330.10364000000004
FDI56,OUT049,1419.1748933333333
DRD01,OUT013,1596.3220800000001
FDM22,OUT046,857.7723333333332
FDH33,OUT013,751.5106533333334
DRZ24,OUT013,2026.517653333333
NCQ38,OUT046,1931.3970266666665
FDO16,OUT027,2175.2573733333334
FDU07,OUT027,4306.838266666667
NCB07,OUT013,2813.9815066666665
FDU48,OUT045,2290.9734133333336
NCM43,OUT045,2249.9601333333335
FDR31,OUT010,350.74344
DRK49,OUT018,663.9801466666667
NCI30,OUT010,601.5281066666666
DRD60,OUT017,3047.055893333333
NCG19,OUT046,2863.6501866666663
FDH12,OUT035,1546.031986666667
FDM32,OUT035,1417.3994266666664
FDM27,OUT035,2684.683146666667
NCU53,OUT027,4142.030573333334
NCQ18,OUT046,1770.1846533333335
FDS10,OUT013,2470.0736133333335
FDB33,OUT027,3856.8462400000003
FDI12,OUT013,1380.5584933333332
NCW42,OUT013,3373.297893333334
NCC06,OUT018,1839.6941733333333
FDW02,OUT017,2412.5928800000006
NCD43,OUT017,2100.33268
FDM57,OUT018,1089.2931866666665
FDA58,OUT017,3782.0103200000003
FDK56,OUT046,2900.6686666666665
FDP52,OUT045,3083.4085733333336
FDW20,OUT018,1561.03468
FDS52,OUT049,1540.9719066666664
NCT29,OUT018,1613.5884933333332
NCL54,OUT013,3052.071586666667
FDC05,OUT045,2968.40272
FDF34,OUT035,2904.5303066666665
FDP03,OUT027,3682.5397999999996
FDD32,OUT010,176.1262933333333
FDZ10,OUT045,2502.2539466666667
FDZ40,OUT035,1138.5623866666667
FDD51,OUT018,790.8816266666666
NCY30,OUT019,390.0700266666666
FDP58,OUT017,2950.9143733333335
FDV49,OUT017,4275.0130266666665
FDY24,OUT019,134.62475999999998
NCO55,OUT017,1596.3220799999997
FDR13,OUT017,2157.1476133333335
FDS51,OUT017,1262.0904799999998
FDP26,OUT045,1354.5479066666664
NCB54,OUT027,3148.1243333333337
FDF32,OUT017,3618.48984
FDN31,OUT018,2868.9765866666667
DRM48,OUT017,996.96892
FDN20,OUT049,2749.8427733333333
DRL01,OUT046,2384.851213333333
FDV56,OUT049,1760.819066666667
DRH13,OUT027,2660.092933333333
FDA03,OUT017,2570.6981866666665
FDF47,OUT027,6042.001840000001
FDX32,OUT046,2868.4883333333332
FDX57,OUT049,1896.4647199999997
NCA30,OUT045,2467.2328666666667
FDO49,OUT013,755.5054533333333
FDL04,OUT019,219.84716
DRM48,OUT035,990.44408
FDR16,OUT013,3017.0948933333334
NCC19,OUT018,2433.410226666667
NCE42,OUT045,2607.8498266666666
FDY24,OUT017,1281.7093866666664
FDH19,OUT049,2682.77452
FDJ46,OUT013,3423.94308
FDN45,OUT010,488.2089466666667
FDY08,OUT035,2258.0385066666663
FDZ37,OUT035,1759.2655333333337
NCT30,OUT045,1306.3439866666668
DRY23,OUT018,883.6497599999999
NCZ30,OUT018,2403.3160666666668
FDC44,OUT018,1510.0787866666665
FDB45,OUT035,1574.1287466666665
FDY04,OUT013,2639.3643599999996
FDM27,OUT046,2926.324159999999
FDZ43,OUT017,3917.3008800000002
FDT39,OUT019,346.83741333333336
NCC06,OUT019,306.4455466666667
FDL15,OUT027,3673.396146666667
FDL57,OUT017,5045.432400000001
FDU08,OUT046,1659.1735999999996
FDK40,OUT017,3830.169853333334
FDQ12,OUT010,606.8545066666667
FDS48,OUT017,2412.0158533333333
FDP09,OUT045,2601.5469200000002
FDW21,OUT049,1442.0784133333334
FDY25,OUT035,3781.388906666667
DRE13,OUT017,2106.32488
FDV43,OUT019,173.24116
FDD22,OUT045,1845.5532133333334
FDM46,OUT019,307.7771466666666
NCO30,OUT010,435.78829333333334
FDM25,OUT046,2631.685466666667
NCN41,OUT049,2235.0906
FDU24,OUT045,1568.3140933333334
FDZ50,OUT046,2746.735706666667
FDP45,OUT013,3934.8779999999997
NCM54,OUT045,1664.8107066666664
FDW10,OUT019,366.0124533333334
FDP20,OUT017,2056.7449733333333
FDK32,OUT046,2614.99608
FDN52,OUT049,1382.6002799999997
FDM58,OUT045,1663.1684
FDZ46,OUT027,2715.1324000000004
NCA18,OUT018,1998.0658
FDD35,OUT046,2236.4222
NCK31,OUT035,1431.9582533333335
FDI40,OUT027,2364.2558
FDT50,OUT019,247.54443999999998
NCT06,OUT046,2386.2715866666667
FDT31,OUT035,3303.7883733333338
FDT45,OUT049,873.6183733333332
FDT13,OUT045,2692.5839733333337
FDO50,OUT045,1407.4124266666665
NCU18,OUT010,292.4637466666667
NCR54,OUT049,3887.47304
NCO18,OUT018,2221.8633733333336
FDU09,OUT045,949.6527333333335
FDT13,OUT018,2813.0937733333335
FDE09,OUT046,1921.4544133333336
NCK53,OUT019,294.1060533333333
FDG45,OUT049,3767.9397466666665
DRH15,OUT035,1105.4499333333333
FDO21,OUT019,502.7677733333333
FDD14,OUT027,4854.08148
FDC09,OUT046,1827.1771333333334
FDH45,OUT027,1472.8827600000002
FDV32,OUT046,1184.2806533333335
FDG12,OUT035,2011.51496
FDS32,OUT013,2069.4395600000003
NCL55,OUT018,3154.338466666666
DRE01,OUT035,3245.7306133333336
DRE15,OUT049,1444.2533600000002
NCL42,OUT045,3092.152746666667
FDP31,OUT013,1084.5438133333332
