Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1788.6875
FDW14,OUT017,1602.6875
NCN55,OUT010,1944.1875
FDQ58,OUT017,2598.4375
FDY38,OUT027,5210.5625
FDH56,OUT046,1942.6875
FDL48,OUT018,521.6875
FDC48,OUT027,2808.0625
FDN33,OUT045,1499.8125
FDA36,OUT017,3020.4375
FDT44,OUT017,1982.9375
FDQ56,OUT045,1297.3125
NCC54,OUT019,1925.0625
FDU11,OUT049,1970.6875
DRL59,OUT013,871.3125
FDM24,OUT049,2521.6875
FDI57,OUT045,3079.5625
DRC12,OUT018,2743.6875
NCM42,OUT027,3160.8125
FDA46,OUT010,1161.875
FDA31,OUT013,2778.0625
NCJ31,OUT035,3910.6875
FDG52,OUT046,796.1875
NCL19,OUT019,438.3125
FDS10,OUT035,3012.4375
FDX22,OUT010,1422.875
NCF19,OUT035,887.4375
NCE06,OUT046,2480.6875
DRC27,OUT046,3880.0625
FDE21,OUT035,2015.4375
NCR42,OUT019,-1311.9375
FDX51,OUT018,2869.1875
NCR06,OUT018,386.4375
FDU31,OUT027,4964.0625
FDU59,OUT017,2659.4375
FDR03,OUT027,4805.0625
FDS49,OUT027,2766.5625
FDD48,OUT010,-50.125
NCF18,OUT017,3087.1875
NCD43,OUT027,3102.3125
NCD54,OUT018,1937.9375
FDY19,OUT010,-52.625
NCY54,OUT017,2776.9375
NCL19,OUT018,2033.9375
FDP23,OUT010,1500.875
FDC26,OUT013,1829.1875
FDR14,OUT010,-1058.625
NCS41,OUT035,3066.9375
FDF41,OUT035,4047.9375
FDU34,OUT046,2007.9375
DRH11,OUT046,921.5625
FDM03,OUT013,1791.0625
FDS31,OUT017,3069.9375
FDJ20,OUT017,2074.9375
FDV44,OUT027,4509.5625
FDG02,OUT049,3081.6875
FDA09,OUT013,2941.3125
FDT04,OUT013,682.9375
FDL58,OUT019,2231.0
FDE52,OUT045,1460.0625
FDW12,OUT035,2499.9375
FDL51,OUT017,3554.6875
NCY42,OUT027,3662.3125
FDR07,OUT017,1608.9375
FDN40,OUT045,2343.8125
FDB35,OUT027,2982.5625
FDA22,OUT017,2739.4375
NCL06,OUT046,4136.1875
FDI35,OUT013,2944.6875
NCW42,OUT045,3399.0625
NCX06,OUT049,2905.1875
FDC37,OUT027,3184.0625
FDZ14,OUT018,1723.1875
DRG49,OUT049,3887.6875
NCG06,OUT045,3966.5625
DRC36,OUT045,2725.6875
FDV21,OUT019,105.0
FDB53,OUT046,2390.1875
DRP47,OUT019,2084.1875
FDA14,OUT013,2373.1875
DRC24,OUT035,2537.5625
FDW21,OUT018,1397.6875
NCH29,OUT046,1593.4375
FDU58,OUT013,3055.4375
FDY27,OUT017,2916.9375
FDV56,OUT035,1921.4375
FDT59,OUT046,3703.1875
FDB23,OUT046,3662.9375
FDR49,OUT045,735.8125
FDB03,OUT010,1937.875
FDN39,OUT045,2622.5625
FDX02,OUT027,5020.0625
FDQ16,OUT027,3173.5625
FDU35,OUT018,1333.1875
NCT29,OUT013,1998.5625
FDZ27,OUT046,904.1875
FDN57,OUT017,2342.4375
FDA03,OUT018,2088.1875
FDZ36,OUT045,2877.0625
NCU05,OUT013,1354.4375
FDT39,OUT018,2150.6875
FDK60,OUT017,1716.9375
FDZ25,OUT017,2877.9375
FDG12,OUT046,2053.1875
DRB01,OUT019,1115.6875
NCC43,OUT027,5326.8125
FDX13,OUT019,2041.25
FDM22,OUT049,1014.6875
FDJ03,OUT027,2318.5625
FDU14,OUT018,3696.6875
FDB33,OUT010,626.375
FDP27,OUT046,3013.6875
FDO38,OUT010,-676.125
FDE28,OUT027,5163.5625
FDO27,OUT035,1694.1875
DRL23,OUT027,3127.5625
FDS28,OUT046,1023.6875
FDX24,OUT013,1575.5625
FDZ02,OUT035,1754.4375
FDL46,OUT045,1783.3125
FDS60,OUT027,4294.0625
NCO06,OUT017,571.9375
FDO16,OUT035,1496.4375
FDC60,OUT049,1532.6875
FDA48,OUT018,3218.6875
FDZ36,OUT027,4416.5625
FDK27,OUT045,1887.8125
FDW23,OUT018,379.1875
FDM14,OUT018,1494.6875
FDM14,OUT013,1802.9375
FDW60,OUT018,2533.6875
FDE21,OUT013,1922.5625
NCM42,OUT035,1833.6875
FDY59,OUT010,-359.125
DRI49,OUT049,1349.6875
FDT28,OUT019,546.25
FDQ22,OUT018,354.1875
FDR60,OUT049,1318.6875
FDC50,OUT019,-376.5
FDV24,OUT013,2418.1875
DRF48,OUT010,945.3125
FDQ47,OUT046,646.1875
DRN36,OUT049,1609.6875
NCY06,OUT035,2145.6875
FDE52,OUT035,1659.9375
NCB54,OUT045,1969.0625
NCF31,OUT035,2514.4375
FDJ08,OUT027,4473.0625
NCC07,OUT017,1722.1875
NCD19,OUT027,2377.3125
FDL46,OUT049,1957.6875
FDM20,OUT045,3837.8125
NCI06,OUT010,911.6875
DRM11,OUT035,4131.3125
NCH07,OUT018,2186.9375
FDS23,OUT013,2025.9375
FDO49,OUT018,621.6875
FDS35,OUT049,1153.6875
DRK39,OUT045,1273.6875
DRI39,OUT049,960.6875
FDV04,OUT017,2637.4375
NCN14,OUT035,3026.9375
FDH08,OUT013,3662.9375
FDS20,OUT046,2934.6875
FDV40,OUT049,1299.6875
FDZ48,OUT010,-139.125
FDS24,OUT027,2880.5625
FDK44,OUT049,2851.6875
FDS48,OUT045,2345.8125
FDK26,OUT010,1044.875
FDD23,OUT045,2974.3125
NCH54,OUT017,2614.1875
NCP14,OUT010,-271.8125
FDM60,OUT010,-1138.125
FDV24,OUT017,2476.9375
FDH08,OUT018,3312.1875
FDS12,OUT027,3469.5625
FDR39,OUT027,4327.0625
FDP12,OUT027,2148.0625
DRF60,OUT027,5203.0625
FDC09,OUT035,1831.9375
FDF50,OUT018,2777.1875
FDG28,OUT035,4055.6875
NCE19,OUT017,952.6875
NCM53,OUT010,-208.8125
NCN18,OUT049,1828.1875
FDF32,OUT035,3317.9375
FDF11,OUT013,3900.1875
DRI59,OUT049,3632.6875
NCG54,OUT035,2796.1875
FDM44,OUT046,1677.6875
FDT57,OUT018,3487.1875
FDV24,OUT046,2393.6875
FDI50,OUT019,1801.5
FDS09,OUT035,1029.9375
NCC31,OUT027,3882.3125
FDQ07,OUT019,1659.5
FDC22,OUT017,3151.9375
FDZ56,OUT046,2717.9375
FDZ40,OUT019,-959.5
FDS46,OUT027,3395.5625
DRD24,OUT045,2157.6875
FDV45,OUT017,3110.4375
FDL26,OUT045,2410.3125
FDA56,OUT018,1699.6875
FDN27,OUT046,1903.6875
FDM20,OUT049,3976.6875
FDO16,OUT017,1459.1875
FDL03,OUT035,3303.4375
FDE58,OUT046,1926.9375
FDI02,OUT027,3295.5625
NCC55,OUT019,-1257.4375
FDR03,OUT018,3072.6875
FDB14,OUT017,1610.4375
FDR45,OUT013,3873.6875
NCN07,OUT017,2171.9375
FDM51,OUT019,-142.5
FDT52,OUT027,5380.5625
FDL26,OUT046,2487.1875
NCZ42,OUT046,3768.4375
DRI47,OUT019,425.4375
FDW40,OUT013,2346.3125
FDN34,OUT046,2778.6875
FDS01,OUT035,2990.9375
NCG55,OUT045,1750.8125
FDC11,OUT035,1507.9375
FDX35,OUT018,3227.1875
NCB06,OUT046,2561.9375
FDR09,OUT019,2242.25
FDC53,OUT017,1700.6875
FDY45,OUT013,4108.9375
FDA22,OUT010,757.875
FDE02,OUT035,1658.4375
FDW21,OUT045,1611.3125
FDV34,OUT046,1291.9375
FDS59,OUT049,1884.6875
NCW17,OUT017,2144.6875
NCK54,OUT046,1937.6875
FDG17,OUT019,1995.75
FDG35,OUT017,2908.4375
FDD08,OUT010,-1242.125
NCO07,OUT017,3457.4375
FDJ10,OUT010,311.875
FDW36,OUT017,1806.4375
FDW21,OUT010,-283.625
FDY19,OUT017,1968.9375
DRE03,OUT013,745.5625
NCC55,OUT049,683.1875
FDH52,OUT010,-813.125
FDO09,OUT017,4344.4375
FDU43,OUT045,3781.3125
FDX09,OUT010,870.875
FDH40,OUT019,-499.0
FDW58,OUT017,1782.6875
FDC47,OUT017,3705.6875
NCR41,OUT035,1670.1875
DRG49,OUT035,3931.8125
FDC52,OUT027,3956.0625
FDY13,OUT046,1263.6875
FDY35,OUT013,824.6875
FDI35,OUT017,3013.6875
NCU18,OUT049,2283.1875
FDY33,OUT018,2299.1875
FDC15,OUT027,3931.0625
FDU01,OUT049,3092.6875
NCU42,OUT046,2680.1875
NCV29,OUT018,2558.4375
NCY30,OUT017,2944.4375
FDQ46,OUT049,1881.6875
FDG58,OUT027,3976.0625
FDK33,OUT017,3497.9375
NCD07,OUT045,1766.0625
NCX29,OUT027,3762.8125
NCT42,OUT013,2330.3125
DRN59,OUT035,874.8125
FDI44,OUT035,1379.4375
FDA45,OUT049,2889.6875
FDP31,OUT045,966.8125
FDY01,OUT046,1912.1875
FDT09,OUT018,1894.6875
DRH03,OUT027,2933.0625
FDA36,OUT018,2631.1875
NCF31,OUT017,2493.6875
FDG14,OUT049,2551.6875
FDG28,OUT027,5400.0625
FDU14,OUT049,4070.6875
FDY47,OUT019,280.5
FDI56,OUT049,1549.6875
DRD01,OUT013,974.0625
FDM22,OUT046,957.9375
FDH33,OUT013,774.0625
DRZ24,OUT013,1938.6875
NCQ38,OUT046,1712.4375
FDO16,OUT027,2818.5625
FDU07,OUT027,3855.5625
NCB07,OUT013,3078.4375
FDU48,OUT045,2017.8125
NCM43,OUT045,2557.5625
FDR31,OUT010,423.875
DRK49,OUT018,377.6875
NCI30,OUT010,1916.1875
DRD60,OUT017,2965.3125
NCG19,OUT046,3682.6875
FDH12,OUT035,1831.1875
FDM32,OUT035,1585.9375
FDM27,OUT035,2670.6875
NCU53,OUT027,4041.3125
NCQ18,OUT046,1543.1875
FDS10,OUT013,2902.1875
FDB33,OUT027,3972.0625
FDI12,OUT013,1507.6875
NCW42,OUT013,3508.1875
NCC06,OUT018,1699.4375
FDW02,OUT017,2128.9375
NCD43,OUT017,1755.6875
FDM57,OUT018,1124.1875
FDA58,OUT017,3855.4375
FDK56,OUT046,2975.6875
FDP52,OUT045,3647.3125
FDW20,OUT018,1685.1875
FDS52,OUT049,1725.6875
NCT29,OUT018,1653.9375
NCL54,OUT013,2830.4375
FDC05,OUT045,3121.8125
FDF34,OUT035,3317.6875
FDP03,OUT027,3455.0625
FDD32,OUT010,-542.625
FDZ10,OUT045,1959.3125
FDZ40,OUT035,1041.4375
FDD51,OUT018,485.6875
NCY30,OUT019,940.3125
FDP58,OUT017,3562.9375
FDV49,OUT017,4287.4375
FDY24,OUT019,-925.5
NCO55,OUT017,1816.4375
FDR13,OUT017,2030.6875
FDS51,OUT017,1129.6875
FDP26,OUT045,1620.8125
NCB54,OUT027,3517.8125
FDF32,OUT017,3266.1875
FDN31,OUT018,2733.1875
DRM48,OUT017,674.8125
FDN20,OUT049,2776.6875
DRL01,OUT046,3737.3125
FDV56,OUT049,1857.6875
DRH13,OUT027,3167.0625
FDA03,OUT017,2475.4375
FDF47,OUT027,5001.5625
FDX32,OUT046,2395.6875
FDX57,OUT049,1683.6875
NCA30,OUT045,2889.0625
FDO49,OUT013,945.4375
FDL04,OUT019,-221.0
DRM48,OUT035,695.5625
FDR16,OUT013,3382.1875
NCC19,OUT018,2678.4375
NCE42,OUT045,3622.3125
FDY24,OUT017,1048.6875
FDH19,OUT049,2861.6875
FDJ46,OUT013,2834.6875
FDN45,OUT010,1629.875
FDY08,OUT035,2392.4375
FDZ37,OUT035,1632.9375
NCT30,OUT045,676.3125
DRY23,OUT018,458.1875
NCZ30,OUT018,1610.4375
FDC44,OUT018,1520.6875
FDB45,OUT035,1784.9375
FDY04,OUT013,2684.1875
FDM27,OUT046,2587.6875
FDZ43,OUT017,3987.4375
FDT39,OUT019,566.75
NCC06,OUT019,98.3125
FDL15,OUT027,3893.0625
FDL57,OUT017,4246.9375
FDU08,OUT046,1641.9375
FDK40,OUT017,4257.4375
FDQ12,OUT010,1740.875
FDS48,OUT017,2533.4375
FDP09,OUT045,3294.8125
FDW21,OUT049,1752.6875
FDY25,OUT035,3047.4375
DRE13,OUT017,1474.3125
FDV43,OUT019,-1149.5
FDD22,OUT045,1733.5625
FDM46,OUT019,-402.75
NCO30,OUT010,988.6875
FDM25,OUT046,2849.6875
NCN41,OUT049,2034.1875
FDU24,OUT045,1495.8125
FDZ50,OUT046,2998.6875
FDP45,OUT013,4094.6875
NCM54,OUT045,1893.5625
FDW10,OUT019,921.25
FDP20,OUT017,2128.4375
FDK32,OUT046,2497.6875
FDN52,OUT049,1537.6875
FDM58,OUT045,1755.8125
FDZ46,OUT027,3243.0625
NCA18,OUT018,1548.9375
FDD35,OUT046,1998.1875
NCK31,OUT035,986.1875
FDI40,OUT027,3115.0625
FDT50,OUT019,-264.0
NCT06,OUT046,2610.4375
FDT31,OUT035,3120.4375
FDT45,OUT049,972.6875
FDT13,OUT045,2934.5625
FDO50,OUT045,1405.8125
NCU18,OUT010,283.6875
NCR54,OUT049,3141.1875
NCO18,OUT018,2509.9375
FDU09,OUT045,907.5625
FDT13,OUT018,2726.6875
FDE09,OUT046,1831.9375
NCK53,OUT019,-234.4375
FDG45,OUT049,3439.6875
DRH15,OUT035,856.3125
FDO21,OUT019,1760.75
FDD14,OUT027,4342.0625
FDC09,OUT046,1721.1875
FDH45,OUT027,2186.5625
FDV32,OUT046,1074.4375
FDG12,OUT035,2138.9375
FDS32,OUT013,2329.0625
NCL55,OUT018,3729.4375
DRE01,OUT035,3924.8125
DRE15,OUT049,1310.6875
NCL42,OUT045,3801.8125
FDP31,OUT013,1073.1875
FDN33,OUT018,1273.6875
FDZ59,OUT046,2658.1875
FDE45,OUT010,951.875
FDJ07,OUT013,1947.9375
FDQ45,OUT018,2724.1875
FDM33,OUT027,4951.5625
FDO15,OUT010,-667.125
FDM46,OUT013,1525.6875
FDR03,OUT045,3283.8125
FDY49,OUT018,2414.1875
FDQ60,OUT045,1866.8125
FDW10,OUT049,2868.6875
FDO51,OUT049,884.6875
FDJ40,OUT018,1530.6875
FDS20,OUT018,2621.1875
FDU45,OUT013,1892.9375
FDV02,OUT035,2844.9375
FDN09,OUT046,3895.6875
NCM55,OUT027,4420.3125
FDN23,OUT018,2058.6875
FDY31,OUT010,383.875
FDW03,OUT010,-173.125
FDD14,OUT046,2896.9375
FDV23,OUT017,2118.6875
DRI03,OUT045,2666.6875
FDN13,OUT035,1688.9375
FDF45,OUT027,2455.0625
FDU46,OUT035,1610.6875
FDB57,OUT049,3661.6875
FDV12,OUT049,1719.6875
