Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1693.7952
FDW14,OUT017,1453.6633333333332
NCN55,OUT010,4470.58068
FDQ58,OUT017,1658.9516666666668
FDY38,OUT027,3448.8439999999996
FDH56,OUT046,1406.7402857142858
FDL48,OUT018,548.5240857142857
FDC48,OUT027,1403.5064
FDN33,OUT045,1347.2463
FDA36,OUT017,1989.7432999999999
FDT44,OUT017,1453.4413999999997
FDQ56,OUT045,1725.7536
NCC54,OUT019,3856.3136
FDU11,OUT049,1968.3267333333336
DRL59,OUT013,701.0873999999999
FDM24,OUT049,2206.59436
FDI57,OUT045,4110.458971428571
DRC12,OUT018,2237.4209
NCM42,OUT027,1474.0812
FDA46,OUT010,3823.4674666666665
FDA31,OUT013,2336.958
NCJ31,OUT035,3663.4979200000002
FDG52,OUT046,771.79536
NCL19,OUT019,2261.7226
FDS10,OUT035,2751.58495
FDX22,OUT010,3155.892
NCF19,OUT035,631.8442
NCE06,OUT046,1229.59944
DRC27,OUT046,2743.4289000000003
FDE21,OUT035,2278.3676
NCR42,OUT019,110.96666666666668
FDX51,OUT018,2505.53856
NCR06,OUT018,649.8208
FDU31,OUT027,2984.4485000000004
FDU59,OUT017,3289.7178000000004
FDR03,OUT027,4231.159000000001
FDS49,OUT027,1492.7235999999998
FDD48,OUT010,2004.058
NCF18,OUT017,3643.2576
NCD43,OUT027,499.6829
NCD54,OUT018,2249.7382000000002
FDY19,OUT010,2445.31695
NCY54,OUT017,3319.51235
NCL19,OUT018,2261.7226
FDP23,OUT010,3657.63888
FDC26,OUT013,1178.5991600000002
FDR14,OUT010,550.08396
NCS41,OUT035,2021.3688000000002
FDF41,OUT035,3982.593666666666
FDU34,OUT046,2276.655542857143
DRH11,OUT046,939.4438
FDM03,OUT013,1650.78452
FDS31,OUT017,2577.597142857143
FDJ20,OUT017,1362.2268
FDV44,OUT027,2411.9714666666664
FDG02,OUT049,1942.27176
FDA09,OUT013,3020.0688
FDT04,OUT013,487.09928
FDL58,OUT019,3823.0235999999995
FDE52,OUT045,3453.5046
FDW12,OUT035,1990.5517714285713
FDL51,OUT017,2822.7700666666665
NCY42,OUT027,2612.43275
FDR07,OUT017,642.6634499999999
FDN40,OUT045,2499.2467500000002
FDB35,OUT027,1362.8926000000001
FDA22,OUT017,3899.3686666666667
NCL06,OUT046,2878.2534
FDI35,OUT013,4059.3825999999995
NCW42,OUT045,2652.5472
NCX06,OUT049,2897.5616
FDC37,OUT027,1858.0258666666668
FDZ14,OUT018,2544.6875999999997
DRG49,OUT049,3714.0987200000004
NCG06,OUT045,3285.22365
DRC36,OUT045,3011.8128800000004
FDV21,OUT019,2002.7264
FDB53,OUT046,3519.6851199999996
DRP47,OUT019,3785.073
FDA14,OUT013,1318.2839999999999
DRC24,OUT035,3152.8959
FDW21,OUT018,1729.2157599999998
NCH29,OUT046,1820.4303599999998
FDU58,OUT013,2507.00332
FDY27,OUT017,2248.27344
FDV56,OUT035,970.7364000000001
FDT59,OUT046,3839.4466666666667
FDB23,OUT046,3536.0638
FDR49,OUT045,632.7763200000002
FDB03,OUT010,3653.3777600000003
FDN39,OUT045,2488.7604
FDX02,OUT027,4163.2474
FDQ16,OUT027,2293.0152000000003
FDU35,OUT018,1872.5625
NCT29,OUT013,1644.8589
FDZ27,OUT046,479.37600000000003
FDN57,OUT017,2431.1211428571432
FDA03,OUT018,2260.0581
FDZ36,OUT045,3542.0560000000005
NCU05,OUT013,1033.8764333333331
FDT39,OUT018,2176.3670399999996
FDK60,OUT017,1652.5156
FDZ25,OUT017,2857.9465
FDG12,OUT046,2088.836533333333
DRB01,OUT019,1518.0240000000001
NCC43,OUT027,2660.6699599999997
FDX13,OUT019,4681.37296
FDM22,OUT049,1025.332
FDJ03,OUT027,652.8169
FDU14,OUT018,4094.6699999999996
FDB33,OUT010,2896.09684
