Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,visibility_ratio,Item_MeanPrice_Ratio,specific_price,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_combined_0,Item_Type_combined_1,Item_Type_combined_2,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDA15,0.28252456088121464,0.038398950175676246,0.9275071477565213,OUT049,3735.138,0.9310779543761083,1.0010686221026315,0.5128403850799969,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRC01,0.08127418874665077,0.048345850923406694,0.07206840114364105,OUT018,443.4228,0.9334195208758378,0.9852581903226597,0.13174990730636002,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDN15,0.7707651086632927,0.040593341620069806,0.46828840942892647,OUT049,2097.27,0.9600687539048446,1.0109217063560045,0.13050475977760975,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDX07,0.8719857100327477,0.04390063578681452,0.6400934811102282,OUT010,732.38,1.0,0.9931521584336017,0.15885402641889468,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCD19,0.26049419470080376,0.0191035102324947,0.09580455554876435,OUT013,994.7052,1.0,0.9817722478828469,0.08852151839524519,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDP36,0.3477225364691872,0.1646592215598819,0.08536051178615814,OUT018,556.6088,1.0,1.0150577724765641,0.06638348322284876,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO10,0.5415302173265852,0.02822023528687373,0.11192266161400077,OUT013,343.5528,1.4971974776517427,1.009453980125633,0.05170273019733152,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP10,0.8600774039892825,0.3814315293646792,0.324587093970078,OUT027,4022.7636,0.8704928816397633,1.016124135095736,0.08119173422454246,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDH17,0.693361119380768,0.040368719237415,0.2787905181019905,OUT045,1076.5986,0.9241603619293527,1.0005732279174835,0.08759365001219149,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDU28,0.8719857100327477,0.2797732317887421,0.6643992488913338,OUT017,4710.535,0.9639830398302507,0.9964983282170018,0.16492963707554456,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDY07,0.43137838642453114,0.11407011331620398,0.06048513062907049,OUT049,1516.0266,1.0,0.9924932524025224,0.04427247879663004,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDA03,0.8303066388806193,0.1289623748811828,0.4788665797390814,OUT046,2187.153,1.0366952071584155,0.9896985238671466,0.12433816056560779,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDX32,0.6278654361417089,0.29690263956929497,0.4846747685892604,OUT049,1589.2646,1.026359813124039,1.0084570347972324,0.16191433722542914,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDS46,0.7767192616850254,0.13448412756443065,0.375164687026737,OUT046,2145.2076,0.922289906298101,1.0041953981516754,0.10417420567977975,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDF32,0.7022923489133672,0.19841865054473107,0.7009920271105406,OUT013,1977.4260000000002,1.1713313653743493,0.9916983745753972,0.21040705131833232,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP49,0.2646621018160166,0.20169638372464427,0.10641583304470661,OUT046,1547.3192,1.0280725124413592,1.015210568302857,0.09322445904670881,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCB42,0.43137838642453114,0.015459057236206624,0.3567901989147635,OUT018,1621.8888,1.0031395479206202,0.9919380290265353,0.16478686478554008,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP49,0.2646621018160166,0.20202707838662623,0.09792681104795281,OUT049,718.3982,1.0296708923753675,0.9791855381118802,0.0886976000308572,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRI11,0.22060136945519498,0.09440101595902298,0.34802188809431645,OUT027,2303.6679999999997,0.8704928693111866,0.9847870270721373,0.24503465897330765,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
FDU02,0.5236677582613873,0.3045334770043063,0.845698442773805,OUT035,2748.4224,0.922115518306462,1.0055735503147165,0.31742980158021294,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDN22,0.8511461744566837,0.414436097331953,0.9320199118499957,OUT013,3775.086,1.1399044941112717,0.9959803068782608,0.2367678215318825,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
